timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T12:39:21.488Z,bitcoin,,,macro,"{'price': 115430, 'volume_24h': 37820881545, 'marketcap': 2298884588758, 'dominance': 1}",coingecko,1.0
1758026418,,,ethereum,defi_tvl,"{'tvl': 93552942152.16013, 'tvlPrevDay': None, 'tvlPrevWeek': None, 'tvlPrevMonth': None}",defillama,1.0
,BTC,,,txcount,914953,blockchain.info,1.0
,BTC,,,hashrate,899422975036.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758011700000,,BTCUSDT,,open_interest,69692.88099999,bybit,1.0
1758011700000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6221, 'sell_ratio': 0.3779}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '43175'}",alternative.me,1.0
