timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T17:02:50.830Z,bitcoin,,,macro,"{'price': 116204, 'volume_24h': 38069791321, 'marketcap': 2313952383651, 'dominance': 1}",coingecko,1.0
1758042189,,,ethereum,defi_tvl,"{'tvl': 92998208248.27213, 'tvlPrevDay': 92998183986.0, 'tvlPrevWeek': 90855470784.0, 'tvlPrevMonth': 91797900979.0}",defillama,1.0
,BTC,,,txcount,914982,blockchain.info,1.0
,BTC,,,hashrate,987336498911.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758027300000,,BTCUSDT,,open_interest,68965.37,bybit,1.0
1758027300000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6285, 'sell_ratio': 0.3715}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '27756'}",alternative.me,1.0
