timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T11:59:32.171Z,bitcoin,,,macro,"{'price': 115309, 'volume_24h': 38171071870, 'marketcap': 2298118692447, 'dominance': 1}",coingecko,1.0
,BTC,,,txcount,914949,blockchain.info,1.0
,BTC,,,hashrate,919710711315.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758009300000,,BTCUSDT,,open_interest,69533.348,bybit,1.0
1758009300000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.623, 'sell_ratio': 0.377}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '43175'}",alternative.me,1.0
