timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T16:13:11.220Z,bitcoin,,,macro,"{'price': 115906, 'volume_24h': 37621293612, 'marketcap': 2309188895069, 'dominance': 1}",coingecko,1.0
1758039440,,,ethereum,defi_tvl,"{'tvl': 92497441216.95894, 'tvlPrevDay': 92497922058.0, 'tvlPrevWeek': 90855470784.0, 'tvlPrevMonth': 91797900979.0}",defillama,1.0
,BTC,,,txcount,914974,blockchain.info,1.0
,BTC,,,hashrate,987336498911.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758024600000,,BTCUSDT,,open_interest,68857.443,bybit,1.0
1758024600000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6266, 'sell_ratio': 0.3734}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '27756'}",alternative.me,1.0
