timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T14:56:52.181Z,bitcoin,,,macro,"{'price': 115280, 'volume_24h': 37100477942, 'marketcap': 2295697940558, 'dominance': 1}",coingecko,1.0
,BTC,,,txcount,914968,blockchain.info,1.0
,BTC,,,hashrate,973811341392.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758019800000,,BTCUSDT,,open_interest,69092.06299999,bybit,1.0
1758019800000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6239, 'sell_ratio': 0.3761}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '35652'}",alternative.me,1.0
