timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T13:46:14.050Z,bitcoin,,,macro,"{'price': 115079, 'volume_24h': 37227920102, 'marketcap': 2296465166163, 'dominance': 1}",coingecko,1.0
1758030453,,,ethereum,defi_tvl,"{'tvl': 93503121497.73627, 'tvlPrevDay': 93503121497.73627, 'tvlPrevWeek': 93503121497.73627, 'tvlPrevMonth': 93503121497.73627}",defillama,1.0
,BTC,,,txcount,914959,blockchain.info,1.0
,BTC,,,hashrate,926473290074.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758015600000,,BTCUSDT,,open_interest,69510.23699999,bybit,1.0
1758015600000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6215, 'sell_ratio': 0.3785}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '39376'}",alternative.me,1.0
