timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T15:07:00.641Z,bitcoin,,,macro,"{'price': 115091, 'volume_24h': 36758667673, 'marketcap': 2292786936431, 'dominance': 1}",coingecko,1.0
,BTC,,,txcount,914969,blockchain.info,1.0
,BTC,,,hashrate,973811341392.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758020400000,,BTCUSDT,,open_interest,68935.782,bybit,1.0
1758020400000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6245, 'sell_ratio': 0.3755}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '31902'}",alternative.me,1.0
