timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T16:26:24.715Z,bitcoin,,,macro,"{'price': 115735, 'volume_24h': 37730771189, 'marketcap': 2304859699233, 'dominance': 1}",coingecko,1.0
1758039440,,,ethereum,defi_tvl,"{'tvl': 92497441216.95894, 'tvlPrevDay': 92497922058.0, 'tvlPrevWeek': 90855470784.0, 'tvlPrevMonth': 91797900979.0}",defillama,1.0
,BTC,,,txcount,914975,blockchain.info,1.0
,BTC,,,hashrate,973811341392.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758025200000,,BTCUSDT,,open_interest,68814.585,bybit,1.0
1758025200000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6275, 'sell_ratio': 0.3725}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '27756'}",alternative.me,1.0
